,text,top_class,hate_speech,offensive_language,neither
0,What time is it in England?,neither,0.05061732043345013,0.3429149017131937,0.6064677778533561
1,20 minutes until it starts,neither,0.03830077261994627,0.3307724635935213,0.6309267637865326
2,15 minutes GAAAAAAAH,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
3,Bidet from Missouri!,neither,0.04071751644889743,0.3089174816120565,0.6503650019390461
4,"plane of Fire Hype, City of Brass Hype. Creepy Fire Djinnasi Hype lol (what was his name again?)",neither,0.04534791988672311,0.35997240424204435,0.5946796758712326
5,gandsAJinSpace gandsAJinSpace gandsAJinSpace gandsAJinSpace,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
6,gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype gandsSubHype,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
7,what is going on with gothdad;s hair?,neither,0.03536320788544265,0.4068290864807718,0.5578077056337855
8,first time watching live,neither,0.035132063701548165,0.3516282956383994,0.6132396406600524
9,oh my,neither,0.02748693229954249,0.40236076101129065,0.5701523066891669
10,omfg,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
11,omg Sam is crazy,neither,0.035630449313088515,0.4290046972572175,0.5353648534296941
12,gandsHR gandsHR gandsHR,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
13,WHO IS THIS,neither,0.05821697703665942,0.4560551609872064,0.4857278619761343
14,"@Thokdok, refresh. its fine.",neither,0.033923070785668474,0.3322781559964847,0.6337987732178468
15,where's Matt?,neither,0.04169328132328035,0.29235620515038,0.6659505135263395
16,20,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
17,15,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
18,5,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
19,WENDY ART! <3 <3,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
20,pit fiend gots devil ninja charlie's angels,neither,0.010579856267924705,0.07424263525053762,0.9151775084815376
21,someone should tell the make up people to lay off the blush,neither,0.0775258040526681,0.36366627373232013,0.5588079222150116
22,there we go,neither,0.040839336290152066,0.27628362646603744,0.6828770372438104
23,"It's his first time doing something like this, give him a break.",neither,0.05739584195136435,0.3638727744820005,0.5787313835666352
24,Refresh,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
25,refresh,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
26,gandsTeamNoStream gandsNopeNopeNope gandsSubHype gandsNopeNopeNope gandsSubHype gandsTeamNoStream gandsTeamNoStream gandsTeamNoStream,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
27,refresh,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
28,its all good refresh,neither,0.034681073768971754,0.4022684958761486,0.5630504303548796
29,assassinate,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
30,Where my AZ critters at?,neither,0.028827441879020758,0.4141598548117377,0.5570127033092416
31,can't wait to see Keyleth and Percy *** up another plan again..,neither,0.07039242587660098,0.3027882697787185,0.6268193043446805
32,Pit Fiend Pic,neither,0.03558912589868437,0.3959596532819875,0.5684512208193281
33,Bidet and beep beep everyone!!,neither,0.029752341624462542,0.4278807541485688,0.5423669042269688
34,im freaking out!,neither,0.033956289813880734,0.3834367268665505,0.5826069833195688
35,bidet from kentucky,neither,0.04071751644889743,0.3089174816120565,0.6503650019390461
36,Finally get to watch an episode live. Good afternoon from Aus,neither,0.05098765333509756,0.3164624554742222,0.6325498911906803
37,Seattle Critroll! Sound off!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
38,First live show. So much hype.,neither,0.04516399263600487,0.3055493192148017,0.6492866881491934
39,@chemicallust Knoxville represent,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
40,x.x,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
41,gandsFail gandsFail gandsFail gandsFail gandsFail,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
42,WE'RE BACK REFRESH IF YOU CAN'T SEE,neither,0.0480274062853624,0.3905656748738301,0.5614069188408076
43,>(,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
44,gandsFail gandsFail gandsFail gandsFail gandsHR gandsHR gandsHR gandsHR gandsHR gandsTeamNoStream gandsTeamNoStream gandsTeamNoStream gandsTeamNoStream gandsTeamNoStream gandsTeamNoStream,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
45,We have a subscriber-only Discord server! Join here: https://t.co/Of0oLClO2v (you'll need to sub and link it to your Twitch) and be a part of the fun!,neither,0.09547053438395336,0.2823092650264385,0.6222202005896081
46,gandsTrinket,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
47,STREAM IS BACK UP,neither,0.044894449314978935,0.3820233230682723,0.5730822276167488
48,water thingy??,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
49,does 5e allow for environmental bonuses like if you did some lightning to the water orb would it *** them up even more?,neither,0.032851481512536015,0.4508154197084009,0.5163330987790631
50,"Damn, I missed refreshing, what did they do so far?",offensive_language,0.0504858960367564,0.7432476164881622,0.20626648747508144
51,!coins,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
52,"...@Jonnysite in the Couch, duh.",neither,0.03858008578898208,0.3144154871723592,0.6470044270386588
53,BOOOOOOOOOORIS,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
54,@katsimpkins I am in Rockville...where are you?,neither,0.12639709265501167,0.28062797375439785,0.5929749335905904
55,#SaveLarkin,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
56,yeah,offensive_language,0.013968601452186464,0.5182923869769311,0.4677390115708824
57,yo I was half asleep and that intro scared the *** out of me,neither,0.02926751919871767,0.3969096332661546,0.5738228475351278
58,BibleThump,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
59,"Well, not any more they're not sponsored by Skype",neither,0.05026479320050475,0.34042846203119176,0.6093067447683035
60,Skype really does suck!!!,neither,0.041075354464712575,0.451060228534675,0.5078644170006125
